title,rating,category,price,in_stock
Sharp Objects,4,Mystery,47.82,True
"In a Dark, Dark Wood",1,Mystery,19.63,True
The Past Never Ends,4,Mystery,56.5,True
A Murder in Time,1,Mystery,16.64,True
The Murder of Roger Ackroyd (Hercule Poirot #4),4,Mystery,44.1,True
The Last Mile (Amos Decker #2),2,Mystery,54.21,True
That Darkness (Gardiner and Renner #1),1,Mystery,13.92,True
Tastes Like Fear (DI Marnie Rome #3),1,Mystery,10.69,True
A Time of Torment (Charlie Parker #14),5,Mystery,48.35,True
A Study in Scarlet (Sherlock Holmes #1),2,Mystery,16.73,True
Poisonous (Max Revere Novels #3),3,Mystery,26.8,True
Murder at the 42nd Street Library (Raymond Ambler #1),4,Mystery,54.36,True
Most Wanted,3,Mystery,35.28,True
Hide Away (Eve Duncan #20),1,Mystery,11.84,True
Boar Island (Anna Pigeon #19),3,Mystery,59.48,True
The Widow,2,Mystery,27.26,True
Playing with Fire,3,Mystery,13.71,True
What Happened on Beale Street (Secrets of the South Mysteries #2),5,Mystery,25.37,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,Mystery,52.3,True
Delivering the Truth (Quaker Midwife Mystery #1),4,Mystery,20.89,True
The Mysterious Affair at Styles (Hercule Poirot #1),4,Mystery,24.8,True
In the Woods (Dublin Murder Squad #1),2,Mystery,38.38,True
The Silkworm (Cormoran Strike #2),5,Mystery,23.05,True
The Exiled,3,Mystery,43.45,True
The Cuckoo's Calling (Cormoran Strike #1),1,Mystery,19.21,True
Extreme Prey (Lucas Davenport #26),3,Mystery,25.4,True
Career of Evil (Cormoran Strike #3),2,Mystery,24.72,True
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,Mystery,57.7,True
The Girl You Lost,5,Mystery,12.29,True
The Girl In The Ice (DCI Erika Foster #1),3,Mystery,15.85,True
Blood Defense (Samantha Brinkman #1),3,Mystery,20.3,True
1st to Die (Women's Murder Club #1),1,Mystery,53.98,True
Mesaerion: The Best Science Fiction Stories 1800-1849,1,Science Fiction,37.59,True
Join,5,Science Fiction,35.67,True
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,Science Fiction,43.3,True
The Project,1,Science Fiction,10.65,True
Soft Apocalypse,2,Science Fiction,26.12,True
Sleeping Giants (Themis Files #1),1,Science Fiction,48.74,True
Arena,4,Science Fiction,21.36,True
Foundation (Foundation (Publication Order) #1),1,Science Fiction,32.42,True
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),1,Science Fiction,10.92,True
Ready Player One,4,Science Fiction,19.07,True
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",2,Science Fiction,33.26,True
Dune (Dune #1),1,Science Fiction,54.86,True
